effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),-1.460911284549493,0.12870869286681288,-11.35052537641134,112.9942632070525,2.1796087757426783e-20
fixed,NA,TreatmentAmbient,-0.05034949731563078,0.15293329590655386,-0.32922521558938744,79.87367325966997,0.7428472026203764
fixed,NA,TreatmentAddition,-0.07214210217086083,0.1587184337881705,-0.4545288184177992,75.08443926160888,0.6507596113682179
fixed,NA,SiteDesert Grassland,0.03310815815971121,0.18336785613130793,0.18055595379815523,98.33728601209621,0.8570877133574316
fixed,NA,SiteJuniper Savanna,0.5460768742027081,0.3131900705830854,1.743595744226638,202.1286508448832,0.08275002018073474
fixed,NA,SitePonderosa Pine Meadow,1.5104673019814783,0.16210045621464428,9.3180940834700845,80.5453759890518,1.9633652782725044e-14
fixed,NA,SiteMixed Conifer Meadow,2.1733236184558127,0.16217299987305198,13.40126667297933,87.29537004568293,6.759589323736753e-23
fixed,NA,Trip_date2018-06-19,0.07255094501542148,0.14807519293645152,0.4899601585969751,175.2666602452125,0.6247748289618098
fixed,NA,Trip_date2018-07-03,0.4478648671806611,0.1462837400907468,3.0616175584711542,176.6403132657267,0.0025455586192456923
fixed,NA,Trip_date2018-07-24,0.5621688435128234,0.14567848786551463,3.858969513960073,176.35597636417154,1.595507487610537e-4
fixed,NA,Trip_date2018-08-15,1.3885539408695942,0.1456784878655146,9.531633401847634,176.35597632689195,1.2452120832168159e-17
fixed,NA,Trip_date2018-09-12,0.5005477528988062,0.14567848786551463,3.4359757588978725,176.35597635983598,7.362698081270554e-4
fixed,NA,TreatmentAmbient:SiteDesert Grassland,-0.04135833248146411,0.16850302702663977,-0.2454456350800481,36.15676498606335,0.8074992641780605
fixed,NA,TreatmentAddition:SiteDesert Grassland,0.13715200118603116,0.17406428684384712,0.7879387763732951,30.024385400860673,0.436909402745156
fixed,NA,TreatmentAmbient:SiteJuniper Savanna,0.1559637253185299,0.1737021255294094,0.8978803503018953,32.00621903017767,0.3759542963295849
fixed,NA,TreatmentAddition:SiteJuniper Savanna,0.27305256880124773,0.1765227674915398,1.5468405162769403,30.783685225899912,0.13212175848863217
fixed,NA,TreatmentAmbient:SitePonderosa Pine Meadow,-0.09207046488354308,0.16841623788219162,-0.5466840136159973,28.356904616975797,0.5888722154425226
fixed,NA,TreatmentAddition:SitePonderosa Pine Meadow,0.026397880866827858,0.1712004009965116,0.15419286820108408,27.21042101580259,0.8785956291113268
fixed,NA,TreatmentAmbient:SiteMixed Conifer Meadow,-0.0831141502065094,0.16387141386182438,-0.5071912681280145,34.4882805904209,0.6152485876598748
fixed,NA,TreatmentAddition:SiteMixed Conifer Meadow,0.0696249106060825,0.17208633718082514,0.4045929022995122,29.766776091541935,0.6886694696708218
fixed,NA,TreatmentAmbient:Trip_date2018-06-19,0.20170406731787013,0.14570031816857315,1.3843762996076745,179.53808751177752,0.16796149497367802
fixed,NA,TreatmentAddition:Trip_date2018-06-19,0.1973895732545566,0.15070276974259483,1.3097939314035458,177.51075711016603,0.19195813251672833
fixed,NA,TreatmentAmbient:Trip_date2018-07-03,0.0314407982255335,0.14449839597789563,0.21758579403430262,181.08336493696183,0.8279968327204751
fixed,NA,TreatmentAddition:Trip_date2018-07-03,0.020200218713921882,0.1491972206796354,0.13539272797377988,175.61083813344536,0.8924564396545557
fixed,NA,TreatmentAmbient:Trip_date2018-07-24,0.27442370368904545,0.1435914897844549,1.9111418378692406,179.88945313587658,0.0575763377744194
fixed,NA,TreatmentAddition:Trip_date2018-07-24,0.3097696972479734,0.14778708871691085,2.09605385651343,175.1879906727772,0.03751419684130391
fixed,NA,TreatmentAmbient:Trip_date2018-08-15,0.029612728374639897,0.14359148978445496,0.2062289932299716,179.88945313932015,0.8368452603794746
fixed,NA,TreatmentAddition:Trip_date2018-08-15,0.16478666688585242,0.14778708871691082,1.115027492026077,175.18799066615915,0.2663658967928687
fixed,NA,TreatmentAmbient:Trip_date2018-09-12,0.3179097278085481,0.14359148978445496,2.213987251513039,179.88945314900795,0.028086460434340106
fixed,NA,TreatmentAddition:Trip_date2018-09-12,0.45033207466534747,0.14778708871691082,3.047167912807104,175.1879906706338,0.002667704897171581
fixed,NA,SiteDesert Grassland:Trip_date2018-06-19,-0.47610827359244023,0.1901039477173646,-2.5044628441924313,185.26204543345048,0.013127008192175079
fixed,NA,SiteJuniper Savanna:Trip_date2018-06-19,0.8335785899623734,0.3110183289159489,2.6801590532230137,188.31636828534621,0.0080110411591121
fixed,NA,SitePonderosa Pine Meadow:Trip_date2018-06-19,0.06751083105995867,0.17017484143002887,0.3967145230907545,173.78226865545003,0.692064729322357
fixed,NA,SiteMixed Conifer Meadow:Trip_date2018-06-19,0.5620795421976529,0.17088889512115324,3.289151947522169,175.3484049907665,0.0012144940582652388
fixed,NA,SiteDesert Grassland:Trip_date2018-07-03,-0.7093884790812803,0.18080933242413222,-3.9234063284810836,183.64365457488776,1.2326999050036517e-4
fixed,NA,SiteJuniper Savanna:Trip_date2018-07-03,0.39809854626411306,0.3091356585090948,1.287779443445865,188.62892636798773,0.19940039228080048
fixed,NA,SitePonderosa Pine Meadow:Trip_date2018-07-03,-0.6515102741688259,0.1677122261418733,-3.884691588421776,176.41198805190587,1.4475231233861013e-4
fixed,NA,SiteMixed Conifer Meadow:Trip_date2018-07-03,-0.5121138535946416,0.16905602198480624,-3.0292553177470802,178.9908330034678,0.002814402189059138
fixed,NA,SiteDesert Grassland:Trip_date2018-07-24,0.6874980971809528,0.1808093324241323,3.8023374566101413,183.64365461551023,1.9493679759925435e-4
fixed,NA,SiteJuniper Savanna:Trip_date2018-07-24,0.16723651219295166,0.3091356585090948,0.5409809822635895,188.62892638323495,0.5891589780595546
fixed,NA,SitePonderosa Pine Meadow:Trip_date2018-07-24,0.2160982834370873,0.16771222614187337,1.2885064399197859,176.41198810791113,0.1992570232908741
fixed,NA,SiteMixed Conifer Meadow:Trip_date2018-07-24,0.3792923935795498,0.16860700609334575,2.249564845304011,178.4056452646902,0.02569887698290012
fixed,NA,SiteDesert Grassland:Trip_date2018-08-15,-0.8022327633126728,0.18080933242413222,-4.436899094515989,183.64365462097473,1.5701972225105497e-5
fixed,NA,SiteJuniper Savanna:Trip_date2018-08-15,0.14592001132004737,0.3091356585090948,0.4720258155393432,188.6289263845904,0.6374539498379574
fixed,NA,SitePonderosa Pine Meadow:Trip_date2018-08-15,-1.3044289636078732,0.16771222614187326,-7.777780986011205,176.41198809297538,5.93039631417132e-13
fixed,NA,SiteMixed Conifer Meadow:Trip_date2018-08-15,-0.8727991480468401,0.1686070060933457,-5.176529542097636,178.4056452430552,6.050063906744711e-7
fixed,NA,SiteDesert Grassland:Trip_date2018-09-12,0.06035811939179435,0.1808093324241323,0.3338219249115399,183.64365462851387,0.7388948115524338
fixed,NA,SiteJuniper Savanna:Trip_date2018-09-12,0.493795672203519,0.3091356585090948,1.597342974230168,188.6289263803175,0.11186312292549669
fixed,NA,SitePonderosa Pine Meadow:Trip_date2018-09-12,-0.348580715564117,0.16771222614187334,-2.0784454632975953,176.41198809171146,0.039115693415775074
fixed,NA,SiteMixed Conifer Meadow:Trip_date2018-09-12,0.321908413380383,0.16860700609334575,1.9092232335954362,178.40564526383173,0.057838231362136755
ran_pars,Plot_Site,sd__(Intercept),0.10637286519163215,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.25068932136803773,NA,NA,NA,NA
