"","Date.time","Sample","Details","soilmass_g","BulkDensity","soil_pctC","temperature","CO2_ppmv","SoilVolume","CO2.C_ug","Datetime","Site","Treatment","Plot","Canopy","Depth","Diff_time","Diff_CO2C","CO2flux","CO2flux_by_ppm","Cum.Elapsed.time","Cum.Elapsed.days"
"1","6/17/19 14:30","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,14514,0.00837291037850746,3174.87049973013,2019-06-17 14:30:00,"Desert Grassland","Addition","P11","Canopy","0-5",72.4333333333333,2598.91390431953,53.3982687526591,35.8800815138453,99.5833333333333,4.14930555555556
"2","6/20/19 9:50","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,9774,0.00837291037850746,2138.0173807608,2019-06-20 09:50:00,"Desert Grassland","Addition","P11","Canopy","0-5",47.8666666666667,1234.68644403174,38.3881559591141,25.7942850424459,166.916666666667,6.95486111111111
"3","6/25/19 10:15","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,11924.3,0.00837291037850746,2608.38557943585,2019-06-25 10:15:00,"Desert Grassland","Addition","P11","Canopy","0-5",120.416666666667,470.368198675051,5.81333173416974,3.90617189211115,287.333333333333,11.9722222222222
"4","7/1/19 11:26","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,8088.5,0.00837291037850746,1769.32203645219,2019-07-01 11:26:00,"Desert Grassland","Addition","P11","Canopy","0-5",94.3333333333333,1478.12818160487,23.3195772058106,15.6692033385675,432.516666666667,18.0215277777778
"5","7/5/19 9:51","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,9927,0.00837291037850746,2171.48542447437,2019-07-05 09:51:00,"Desert Grassland","Addition","P11","Canopy","0-5",92.8,1418.14819738186,22.7429814347506,15.2817693683391,526.933333333333,21.9555555555556
"6","7/17/19 13:28","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,15808.8,0.00837291037850746,3458.10202260808,2019-07-17 13:28:00,"Desert Grassland","Addition","P11","Canopy","0-5",168.283333333333,2769.42593095172,24.491895865271,16.4569234284543,818.55,34.10625
"7","8/1/19 10:37","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,16996.7,0.00837291037850746,3717.94966396328,2019-08-01 10:37:00,"Desert Grassland","Addition","P11","Canopy","0-5",162.05,2895.29202476078,26.5899239057047,17.8666585915506,1175.7,48.9875
"8","8/9/19 14:19","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,11153.8,0.00837291037850746,2439.8422612574,2019-08-09 14:19:00,"Desert Grassland","Addition","P11","Canopy","0-5",95.8333333333333,1462.31289036075,22.7089717386356,15.2589171168078,1371.4,57.1416666666667
"9","8/20/19 12:44","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,10960,0.00837291037850746,2397.44940588688,2019-08-20 12:44:00,"Desert Grassland","Addition","P11","Canopy","0-5",118.916666666667,2153.78892292909,26.9546792184646,18.1117498774696,1633.81666666667,68.0756944444444
"10","9/4/19 13:10","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,21366.3,0.00837291037850746,4673.77949279205,2019-09-04 13:10:00,"Desert Grassland","Addition","P11","Canopy","0-5",261.633333333333,4316.8745246675,24.5555749331086,16.4997115224901,1994.25,83.09375
"11","9/14/19 11:31","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,19153.8,0.00837291037850746,4189.80533124782,2019-09-14 11:31:00,"Desert Grassland","Addition","P11","Canopy","0-5",236.2,3658.12280150798,23.0490029222392,15.4873954339881,2232.6,93.025
"12","8/13/19 15:01","ANTAddP11IC0-5",87,50.01,5.977610859,0.957417906,25,10783.6,0.00836621874184132,2358.89813425474,2019-08-13 15:01:00,"Desert Grassland","Addition","P11","Intercanopy","0-5",95.7666666666667,1568.36232363647,34.203742594428,16.3769125336213,241.016666666667,10.0423611111111
"13","8/20/19 13:47","ANTAddP11IC0-5",87,50.01,5.977610859,0.957417906,25,12837.8,0.00836621874184132,2808.25164768125,2019-08-20 13:47:00,"Desert Grassland","Addition","P11","Intercanopy","0-5",122.05,1754.14556721214,30.0171493770918,14.3723520459823,407.783333333333,16.9909722222222
"14","9/4/19 14:11","ANTAddP11IC0-5",87,50.01,5.977610859,0.957417906,25,22928.4,0.00836621874184132,5015.55695513989,2019-09-04 14:11:00,"Desert Grassland","Addition","P11","Intercanopy","0-5",262.4,4740.61175456264,37.7322026465559,18.0663557719613,768.183333333333,32.0076388888889
"15","9/14/19 13:53","ANTAddP11IC0-5",87,50.01,5.977610859,0.957417906,25,19557.8,0.00836621874184132,4278.24269540111,2019-09-14 13:53:00,"Desert Grassland","Addition","P11","Intercanopy","0-5",237.883333333333,3786.58318961909,33.2449042919822,15.9178162528652,1007.88333333333,41.9951388888889
"16","2/10/19 15:37","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,4991.3,0.00704610965957916,1095.07395081027,2019-02-10 15:37:00,"Desert Grassland","Addition","P1","Canopy","0-5",25.95,427.516098120508,24.5476437210429,16.474608790771,120.683333333333,5.02847222222222
"17","2/11/19 16:27","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,6011.6,0.00704610965957916,1318.92424071705,2019-02-11 16:27:00,"Desert Grassland","Addition","P1","Canopy","0-5",24.8333333333333,223.850289906782,13.4312781792467,9.01410563383016,145.516666666667,6.06319444444444
"18","2/13/19 15:59","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,4567.4,0.00704610965957916,1002.07175744412,2019-02-13 15:59:00,"Desert Grassland","Addition","P1","Canopy","0-5",23.25,357.089808734958,22.8849095006967,15.3587014509659,193.05,8.04375
"19","2/15/19 15:56","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,6528.7,0.00704610965957916,1432.37419162443,2019-02-15 15:56:00,"Desert Grassland","Addition","P1","Canopy","0-5",47.95,430.302434180311,13.3714927195196,8.97398194328072,241,10.0416666666667
"20","2/22/19 13:37","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,6317.8,0.00704610965957916,1386.1034613085,2019-02-22 13:37:00,"Desert Grassland","Addition","P1","Canopy","0-5",51.0833333333333,412.355797196703,12.0278381909112,8.07221788965814,406.683333333333,16.9451388888889
"21","3/1/19 15:04","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,6371.9,0.00704610965957916,1397.97281413018,2019-03-01 15:04:00,"Desert Grassland","Addition","P1","Canopy","0-5",101,254.982658952918,3.76169840276731,2.52458078171206,576.133333333333,24.0055555555556
"22","3/4/19 16:30","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,8147.7,0.00704610965957916,1787.57719011417,2019-03-04 16:30:00,"Desert Grassland","Addition","P1","Canopy","0-5",73.4333333333333,389.604375983988,7.90542612478094,5.30555210146148,649.566666666667,27.0652777777778
"23","3/12/19 9:16","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,8880,0.00704610965957916,1948.24127646008,2019-03-12 09:16:00,"Desert Grassland","Addition","P1","Canopy","0-5",141.583333333333,628.066475464221,6.60979789671168,4.43601983847595,834.333333333333,34.7638888888889
"24","3/19/19 12:58","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,12292.2,0.00704610965957916,2696.86615073228,2019-03-19 12:58:00,"Desert Grassland","Addition","P1","Canopy","0-5",94.45,1126.86450947683,17.7772442578749,11.9308047588865,1006.03333333333,41.9180555555556
