"","Date.time","Sample","Details","soilmass_g","BulkDensity","soil_pctC","temperature","CO2_ppmv","Datetime","Site","Treatment","Plot","Canopy","Depth","SoilVolume","ugCO2_C.L","Diff_time_hr","Diff_ugCO2_C.L","Cr","Cum.Elapsed.time.hr","Cum.Elapsed.days","Flux_ugCO2_C.gsoil.hr","Flux_ugCO2_C.gsoil.day"
"1","6/14/19 11:06","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,7355.1,2019-06-14 11:06:00,"Desert Grassland","Addition","P11","Canopy","0-5",0.00837291037850746,3607.58633086098,24.1833333333333,3192.1432203337,131.997652115797,24.1833333333333,1.00763888888889,1.19757869828696,28.7418887588871
"2","6/17/19 14:30","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,14514,2019-06-17 14:30:00,"Desert Grassland","Addition","P11","Canopy","0-5",0.00837291037850746,7118.93896835071,72.4333333333333,5827.48476525939,80.4530800542024,99.5833333333333,4.14930555555556,0.729928853582672,17.5182924859841
"3","6/20/19 9:50","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,9774,2019-06-20 09:50:00,"Desert Grassland","Addition","P11","Canopy","0-5",0.00837291037850746,4794.02711014606,47.8666666666667,2768.50896465197,57.8379310164062,166.916666666667,6.95486111111111,0.524747774130667,12.593946579136
"4","6/25/19 10:15","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,11924.3,2019-06-25 10:15:00,"Desert Grassland","Addition","P11","Canopy","0-5",0.00837291037850746,5848.72288413286,120.416666666667,1054.69577398681,8.75871923034026,287.333333333333,11.9722222222222,0.0794654708352689,1.90717130004645
"5","7/1/19 11:26","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,8088.5,2019-07-01 11:26:00,"Desert Grassland","Addition","P11","Canopy","0-5",0.00837291037850746,3967.31003482877,94.3333333333333,3314.37276359627,35.1346936070276,432.516666666667,18.0215277777778,0.318767492907396,7.6504198297775
"6","7/5/19 9:51","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,9927,2019-07-05 09:51:00,"Desert Grassland","Addition","P11","Canopy","0-5",0.00837291037850746,4869.07173341722,92.8,3179.88102698874,34.265959342551,526.933333333333,21.9555555555556,0.310885703853327,7.46125689247984
"7","7/17/19 13:28","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,15808.8,2019-07-17 13:28:00,"Desert Grassland","Addition","P11","Canopy","0-5",0.00837291037850746,7754.02248607294,168.283333333333,6209.81995375528,36.9009802144515,818.55,34.10625,0.334792529582024,8.03502070996857
"8","8/1/19 10:37","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,16996.7,2019-08-01 10:37:00,"Desert Grassland","Addition","P11","Canopy","0-5",0.00837291037850746,8336.67286505213,162.05,6492.04659578291,40.0619968885092,1175.7,48.9875,0.363471571770292,8.72331772248702
"9","8/9/19 14:19","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,11153.8,2019-08-09 14:19:00,"Desert Grassland","Addition","P11","Canopy","0-5",0.00837291037850746,5470.80208524116,95.8333333333333,3278.91050044264,34.2147182654884,1371.4,57.1416666666667,0.310420807535977,7.45009938086345
"10","8/20/19 12:44","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,10960,2019-08-20 12:44:00,"Desert Grassland","Addition","P11","Canopy","0-5",0.00837291037850746,5375.74556243102,118.916666666667,4829.39127575292,40.6115594316994,1633.81666666667,68.0756944444444,0.368457602843964,8.84298246825514
"11","9/4/19 13:10","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,21366.3,2019-09-04 13:10:00,"Desert Grassland","Addition","P11","Canopy","0-5",0.00837291037850746,10479.9080666578,261.633333333333,9679.62828019228,36.9969229718141,1994.25,83.09375,0.335662992053368,8.05591180928082
"12","9/14/19 11:31","ANTAddP11Can0-5",39,50.05,5.977610859,1.342524322,25,19153.8,2019-09-14 11:31:00,"Desert Grassland","Addition","P11","Canopy","0-5",0.00837291037850746,9394.70395562876,236.2,8202.52446985825,34.7270299316607,2232.6,93.025,0.315068871561794,7.56165291748306
"13","8/5/19 15:29","ANTAddP11IC0-5",87,50.01,5.977610859,0.957417906,25,9725.5,2019-08-05 15:29:00,"Desert Grassland","Addition","P11","Intercanopy","0-5",0.00836621874184132,4770.23845505683,49.4833333333333,4471.28618130668,90.3594378169082,49.4833333333333,2.06180555555556,0.820462249915614,19.6910939979747
"14","8/13/19 15:01","ANTAddP11IC0-5",87,50.01,5.977610859,0.957417906,25,10783.6,2019-08-13 15:01:00,"Desert Grassland","Addition","P11","Intercanopy","0-5",0.00836621874184132,5289.22352618897,95.7666666666667,3516.64990501475,36.7210223287304,241.016666666667,10.0423611111111,0.333426295325999,8.00223108782397
"15","8/20/19 13:47","ANTAddP11IC0-5",87,50.01,5.977610859,0.957417906,25,12837.8,2019-08-20 13:47:00,"Desert Grassland","Addition","P11","Intercanopy","0-5",0.00836621874184132,6296.78342895775,122.05,3933.22113732977,32.226310014992,407.783333333333,16.9909722222222,0.292614379418271,7.0227451060385
"16","9/4/19 14:11","ANTAddP11IC0-5",87,50.01,5.977610859,0.957417906,25,22928.4,2019-09-04 14:11:00,"Desert Grassland","Addition","P11","Intercanopy","0-5",0.00836621874184132,11246.0989556244,262.4,10629.6049230131,40.5091651029464,768.183333333333,32.0076388888889,0.367822571117715,8.82774170682515
"17","9/14/19 13:53","ANTAddP11IC0-5",87,50.01,5.977610859,0.957417906,25,19557.8,2019-09-14 13:53:00,"Desert Grassland","Addition","P11","Intercanopy","0-5",0.00836621874184132,9592.86100008334,237.883333333333,8490.44076959794,35.6916167712377,1007.88333333333,41.9951388888889,0.324079309331161,7.77790342394786
"18","2/10/19 15:37","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,4991.3,2019-02-10 15:37:00,"Desert Grassland","Addition","P1","Canopy","0-5",0.00704610965957916,2448.17142570821,25.95,955.764398079661,36.8309979992162,120.683333333333,5.02847222222222,0.334558669363155,8.02940806471571
"19","2/11/19 16:27","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,6011.6,2019-02-11 16:27:00,"Desert Grassland","Addition","P1","Canopy","0-5",0.00704610965957916,2948.61606050277,24.8333333333333,500.44463479456,20.1521329447474,145.516666666667,6.06319444444444,0.183054251827972,4.39330204387133
"20","2/13/19 15:59","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,4567.4,2019-02-13 15:59:00,"Desert Grassland","Addition","P1","Canopy","0-5",0.00704610965957916,2240.25367535104,23.25,798.317835530358,34.336250990553,193.05,8.04375,0.311897343714747,7.48553624915394
"21","2/15/19 15:56","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,6528.7,2019-02-15 15:56:00,"Desert Grassland","Addition","P1","Canopy","0-5",0.00704610965957916,3202.24726764994,47.95,961.993592298901,20.0624315390803,241,10.0416666666667,0.182239438639347,4.37374652734434
"22","2/22/19 13:37","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,6317.8,2019-02-22 13:37:00,"Desert Grassland","Addition","P1","Canopy","0-5",0.00704610965957916,3098.80340459185,51.0833333333333,921.871695674188,18.0464279740461,406.683333333333,16.9451388888889,0.16392683494168,3.93424403860032
"23","3/1/19 15:04","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,6371.9,2019-03-01 15:04:00,"Desert Grassland","Addition","P1","Canopy","0-5",0.00704610965957916,3125.33879099035,101,570.044844220559,5.64400835861939,576.133333333333,24.0055555555556,0.0512680087130522,1.23043220911325
"24","3/4/19 16:30","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,8147.7,2019-03-04 16:30:00,"Desert Grassland","Addition","P1","Canopy","0-5",0.00704610965957916,3996.34690866964,73.4333333333333,871.008117679289,11.8612090469263,649.566666666667,27.0652777777778,0.107742676857747,2.58582424458593
"25","3/12/19 9:16","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,8880,2019-03-12 09:16:00,"Desert Grassland","Addition","P1","Canopy","0-5",0.00704610965957916,4355.53107613024,141.583333333333,1404.11923554482,9.91726358242372,834.333333333333,34.7638888888889,0.0900846213271211,2.16203091185091
"26","3/19/19 12:58","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,12292.2,2019-03-19 12:58:00,"Desert Grassland","Addition","P1","Canopy","0-5",0.00704610965957916,6029.17332139732,94.45,2519.2430983356,26.6727697018063,1006.03333333333,41.9180555555556,0.242285216921248,5.81484520610996
"27","3/25/19 14:13","ANTAddP1Can0-5",16,49.99,7.094695146,1.342524322,25,10378.9,2019-03-25 14:13:00,"Desert Grassland","Addition","P1","Canopy","0-5",0.00704610965957916,5090.72314032074,96.85,2085.70099043115,21.5353741913387,1151.28333333333,47.9701388888889,0.195619085147929,4.6948580435503
